
2024/05/20 (03:36:37) | ===> btop++ v.1.3.2
2024/05/20 (03:36:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (03:37:06) | ===> btop++ v.1.3.2
2024/05/20 (03:37:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (03:37:39) | ===> btop++ v.1.3.2
2024/05/20 (03:37:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (03:37:53) | ===> btop++ v.1.3.2
2024/05/20 (03:37:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (03:39:40) | ===> btop++ v.1.3.2
2024/05/20 (03:39:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (03:40:16) | ===> btop++ v.1.3.2
2024/05/20 (03:40:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (15:56:54) | ===> btop++ v.1.3.2
2024/05/20 (15:56:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
